"No.","Time","Source","Destination","Protocol","Length","Time delta from previous captured frame","Info"
"198","112.511149971","172.16.10.9","172.16.20.9","TCP","3226","0.025038531","5004  >  39686 [PSH, ACK] Seq=496629 Ack=137 Win=43520 Len=3160 TSval=2165680947 TSecr=3655662310 [TCP segment of a reassembled PDU]"
"200","112.603041308","172.16.10.9","172.16.20.9","TCP","10066","0.090546154","5004  >  39686 [PSH, ACK] Seq=499789 Ack=137 Win=43520 Len=10000 TSval=2165681039 TSecr=3655662336 [TCP segment of a reassembled PDU]"
"202","112.612625026","172.16.10.9","172.16.20.9","TCP","4410","0.009248111","5004  >  39686 [PSH, ACK] Seq=509789 Ack=137 Win=43520 Len=4344 TSval=2165681039 TSecr=3655662336 [TCP segment of a reassembled PDU]"
"204","112.616687174","172.16.10.9","172.16.20.9","TCP","705","0.004038864","5004  >  39686 [PSH, ACK] Seq=514133 Ack=137 Win=43520 Len=639 TSval=2165681039 TSecr=3655662427 [TCP segment of a reassembled PDU]"
"206","112.719194798","172.16.10.9","172.16.20.9","TCP","3255","0.102247410","5004  >  39686 [PSH, ACK] Seq=514772 Ack=137 Win=43520 Len=3189 TSval=2165681155 TSecr=3655662441 [TCP segment of a reassembled PDU]"
"208","112.726748961","172.16.10.9","172.16.20.9","TCP","1514","0.007300442","5004  >  39686 [ACK] Seq=517961 Ack=137 Win=43520 Len=1448 TSval=2165681155 TSecr=3655662441 [TCP segment of a reassembled PDU]"
"209","112.727367164","172.16.10.9","172.16.20.9","TCP","268","0.000618203","5004  >  39686 [PSH, ACK] Seq=519409 Ack=137 Win=43520 Len=202 TSval=2165681155 TSecr=3655662543 [TCP segment of a reassembled PDU]"
"211","112.862849339","172.16.10.9","172.16.20.9","TCP","10066","0.135468994","5004  >  39686 [PSH, ACK] Seq=519611 Ack=137 Win=43520 Len=10000 TSval=2165681299 TSecr=3655662551 [TCP segment of a reassembled PDU]"
"212","112.872322420","172.16.10.9","172.16.20.9","TCP","5858","0.009473081","5004  >  39686 [PSH, ACK] Seq=529611 Ack=137 Win=43520 Len=5792 TSval=2165681299 TSecr=3655662551 [TCP segment of a reassembled PDU]"
"214","112.877873340","172.16.10.9","172.16.20.9","TCP","1424","0.005414368","5004  >  39686 [PSH, ACK] Seq=535403 Ack=137 Win=43520 Len=1358 TSval=2165681308 TSecr=3655662696 [TCP segment of a reassembled PDU]"
"216","112.906121125","172.16.10.9","172.16.20.9","TCP","3779","0.028199277","5004  >  39686 [PSH, ACK] Seq=536761 Ack=137 Win=43520 Len=3713 TSval=2165681342 TSecr=3655662702 [TCP segment of a reassembled PDU]"
"218","112.949884483","172.16.10.9","172.16.20.9","TCP","1814","0.043448013","5004  >  39686 [PSH, ACK] Seq=540474 Ack=137 Win=43520 Len=1748 TSval=2165681386 TSecr=3655662730 [TCP segment of a reassembled PDU]"
"220","112.950365212","172.16.10.9","172.16.20.9","TCP","10066","0.000465618","5004  >  39686 [PSH, ACK] Seq=542222 Ack=137 Win=43520 Len=10000 TSval=2165681386 TSecr=3655662774 [TCP segment of a reassembled PDU]"
"222","112.961852523","172.16.10.9","172.16.20.9","TCP","1514","0.011070530","5004  >  39686 [ACK] Seq=552222 Ack=137 Win=43520 Len=1448 TSval=2165681386 TSecr=3655662774 [TCP segment of a reassembled PDU]"
"223","112.962928237","172.16.10.9","172.16.20.9","TCP","1410","0.001075714","5004  >  39686 [PSH, ACK] Seq=553670 Ack=137 Win=43520 Len=1344 TSval=2165681387 TSecr=3655662775 [TCP segment of a reassembled PDU]"
"225","112.993852044","172.16.10.9","172.16.20.9","TCP","4609","0.030905613","5004  >  39686 [PSH, ACK] Seq=555014 Ack=137 Win=43520 Len=4543 TSval=2165681430 TSecr=3655662787 [TCP segment of a reassembled PDU]"
"227","113.038990010","172.16.10.9","172.16.20.9","TCP","10066","0.044515329","5004  >  39686 [PSH, ACK] Seq=559557 Ack=137 Win=43520 Len=10000 TSval=2165681475 TSecr=3655662818 [TCP segment of a reassembled PDU]"
"229","113.050388452","172.16.10.9","172.16.20.9","TCP","3505","0.010827260","5004  >  39686 [PSH, ACK] Seq=569557 Ack=137 Win=43520 Len=3439 TSval=2165681476 TSecr=3655662863 [TCP segment of a reassembled PDU]"
"231","113.216926965","172.16.10.9","172.16.20.9","TCP","5067","0.166505299","5004  >  39686 [PSH, ACK] Seq=572996 Ack=137 Win=43520 Len=5001 TSval=2165681653 TSecr=3655662874 [TCP segment of a reassembled PDU]"
"233","113.298635419","172.16.10.9","172.16.20.9","TCP","10066","0.081654062","5004  >  39686 [PSH, ACK] Seq=577997 Ack=137 Win=43520 Len=10000 TSval=2165681734 TSecr=3655663041 [TCP segment of a reassembled PDU]"
"235","113.308028656","172.16.10.9","172.16.20.9","TCP","4410","0.009115162","5004  >  39686 [PSH, ACK] Seq=587997 Ack=137 Win=43520 Len=4344 TSval=2165681735 TSecr=3655663041 [TCP segment of a reassembled PDU]"
